City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
486,Surt,LY,69.87,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
489,Lingao,CN,69.98,broken clouds,19.9103,109.6859,Lingao Ditai Inn
493,Salinopolis,BR,82.09,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
498,Safaga,EG,78.4,overcast clouds,26.7292,33.9365,Lamar Resort Abu Soma
499,Neiafu,TO,83.08,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
500,Talara,PE,74.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
504,Veraval,IN,76.35,broken clouds,20.9,70.3667,Lords Inn Somnath
505,Porto Novo,BJ,81.34,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
507,Mbandaka,CD,73.45,light rain,0.0487,18.2603,Guest House Epervier
511,San Angelo,US,68.22,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
512,Linda,US,71.28,clear sky,39.1277,-121.5508,Comfort Suites Marysville-Yuba City
514,Buluang,PH,75.67,overcast clouds,13.3068,123.3425,Enon Beach Resort
515,Arlit,NE,77.99,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
521,Tukrah,LY,79.88,overcast clouds,32.5341,20.5791,Lagrota restaurant
524,San Quintin,MX,72.54,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
526,Alyangula,AU,82.31,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
529,Akyab,MM,73.83,broken clouds,20.15,92.9,Hotel Memory
544,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
545,Uberlandia,BR,78.46,broken clouds,-18.9186,-48.2772,Hotel Apollo
547,Bubaque,GW,83.39,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
550,Imbituba,BR,73.29,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
551,Maues,BR,82.83,overcast clouds,-3.3836,-57.7186,Hotel Miramar
553,Harindanga,IN,66.18,scattered clouds,22.0383,88.3214,Hasanur Builders
556,Cayenne,GF,80.64,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
559,Akhmim,EG,73.09,overcast clouds,26.5622,31.745,برج الماسة السكني
560,North Platte,US,60.69,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
563,Emerald,AU,75.47,overcast clouds,-23.5333,148.1667,The Irish Village
565,Nouakchott,MR,75.13,overcast clouds,18.0858,-15.9785,HOTEL IMAN
567,Port Moresby,PG,78.13,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
568,Domoni,KM,78.62,light rain,-12.2569,44.5319,Al Djadid
569,Plettenberg Bay,ZA,64.67,broken clouds,-34.0527,23.3716,Thanda Vista B&B
571,Marsa Matruh,EG,73.06,overcast clouds,31.3525,27.2453,Beau Site
572,Port Macquarie,AU,64.36,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
573,Telhara,IN,64.94,broken clouds,21.0269,76.8389,Raj Pan Palace
577,Saint-Pierre,RE,74.88,light rain,-21.3393,55.4781,Lindsey Hôtel
580,San Carlos,VE,84.16,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
582,Santa Fe,AR,75.45,light rain,-31.6333,-60.7,Conquistador Hotel
583,Jeremie,HT,79.32,scattered clouds,18.65,-74.1167,Auberge’Inn
584,Kambove,CD,63.41,scattered clouds,-10.8764,26.5969,Couvant des soeurs catholiques
586,Hilton Head Island,US,60.91,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
587,Soyo,AO,78.64,overcast clouds,-6.1349,12.3689,Hotel Mpampa
588,Camalu,MX,72.7,clear sky,30.85,-116.0667,La Cueva del Pirata
590,Maunabo,PR,82.24,broken clouds,18.0072,-65.8993,Maunacaribe
591,Bayshore Gardens,US,69.82,few clouds,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
593,Cuyo,PH,82.87,light rain,10.8525,121.0086,FRANCIA INN
594,Kudahuvadhoo,MV,82.74,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
602,Farafangana,MG,68.99,overcast clouds,-22.8167,47.8333,Miarina
603,Camacha,PT,61.56,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
605,Yulara,AU,62.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
607,Sao Domingos,BR,76.5,moderate rain,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
608,Mutoko,ZW,65.35,clear sky,-17.397,32.2268,Mutoko Hotel
609,Sharjah,AE,75.18,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
611,Itaguai,BR,74.88,broken clouds,-22.8522,-43.7753,It Grande Hotel Itaguai
613,Grand Baie,MU,76.91,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
616,Sambo Creek,HN,82.67,scattered clouds,15.8167,-86.6833,Casa hermana victoriana
621,Bikaner,IN,66.78,clear sky,28.0167,73.3,Karina Guest House
623,Bocaiuva,BR,72.93,scattered clouds,-17.1078,-43.815,Hotel Maxim's
625,Mount Isa,AU,78.57,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
627,Karratha,AU,80.71,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
628,Kimbe,PG,79.2,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
629,Villamontes,BO,71.17,overcast clouds,-21.25,-63.5,Hotel Raldes
630,Kiblawan,PH,74.28,overcast clouds,6.6142,125.2367,manilyn
631,Odweyne,SO,70.57,clear sky,9.4092,45.064,Eng Hiirey House
633,Kapit,MY,71.62,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
635,Francisco Beltrao,BR,69.39,light rain,-26.0811,-53.055,Cristal Palace Hotel
636,Zemio,CF,77.92,overcast clouds,5.0314,25.1361,OCHA Office
637,Ko Samui,TH,80.65,overcast clouds,9.5357,99.9357,The Passage
642,Gwanda,ZW,73.06,few clouds,-20.9333,29.0,Mafax Homeways
643,Lahaina,US,80.6,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
650,Chicama,PE,63.14,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
652,Morondava,MG,73.72,clear sky,-20.2833,44.2833,La Case Bambou
654,Lorengau,PG,80.91,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
657,Koutsouras,GR,68.54,overcast clouds,35.0339,25.9469,The White Houses
659,Wewak,PG,79.11,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
660,Lucea,JM,79.99,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
665,Eyl,SO,77.45,scattered clouds,7.9803,49.8164,Amiin Hotel
666,Ramkola,IN,63.82,broken clouds,26.9042,83.8411,Pankaj Sahani Ramkola
668,Mancora,PE,73.98,broken clouds,-4.1078,-81.0475,Máncora Marina Hotel
672,Pacifica,US,68.0,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
673,Santa Rosa,PH,77.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
674,Ulladulla,AU,60.57,overcast clouds,-35.35,150.4667,Sandpiper Motel
675,Byron Bay,AU,71.55,overcast clouds,-28.65,153.6167,Backpackers Inn
676,Mareeba,AU,72.32,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
677,Basco,PH,78.31,light rain,20.4487,121.9702,Nathaniel's Lodge
