City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Krasnyy Chikoy,RU,50.3643,108.7512,10.78,96,100,1.86,overcast clouds
277,Guerrero Negro,MX,27.9769,-114.0611,78.13,34,0,8.57,clear sky
278,Gejiu,CN,23.306,103.1635,41.92,96,22,1.99,few clouds
279,Bathsheba,BB,13.2167,-59.5167,80.65,77,45,13.89,scattered clouds
280,Erzin,TR,36.9559,36.2,52.52,58,4,3.09,clear sky
281,Okha,RU,53.5739,142.9478,22.19,70,100,8.46,overcast clouds
282,Namibe,AO,-15.1961,12.1522,69.42,76,92,5.48,overcast clouds
283,Conceicao Da Barra,BR,-18.5933,-39.7322,77.07,85,26,11.9,scattered clouds
284,Lata,PT,40.1629,-8.3327,52.34,94,97,9.08,overcast clouds
285,Nishihara,JP,26.1842,127.7558,68.05,80,90,14.97,mist
286,Flin Flon,CA,54.7682,-101.865,17.94,75,100,8.34,overcast clouds
287,Villa Rica,US,33.7321,-84.9191,58.41,50,100,6.91,overcast clouds
288,Katsuura,JP,35.1333,140.3,42.91,56,5,2.06,clear sky
289,Port-Cartier,CA,50.0334,-66.8654,31.06,66,100,13.73,overcast clouds
290,Rudbar,AF,30.15,62.6,59.16,27,100,6.55,overcast clouds
291,Charleston,US,32.7766,-79.9309,59.34,50,1,6.91,clear sky
292,Severo-Kurilsk,RU,50.6789,156.125,32.68,93,100,11.95,light snow
293,Salyan,AZ,39.5936,48.9805,54.64,91,99,4.03,overcast clouds
294,Lerwick,GB,60.1545,-1.1494,32.0,54,98,8.7,overcast clouds
295,Kondoa,TZ,-4.9,35.7833,65.14,76,83,4.16,broken clouds
296,Barbosa Ferraz,BR,-24.03,-52.0117,86.14,52,86,6.4,overcast clouds
297,Harper,LR,4.375,-7.7169,79.3,81,64,5.08,broken clouds
298,Sijunjung,ID,-0.6876,100.9537,68.95,95,98,2.46,overcast clouds
299,Senneterre,CA,48.3835,-77.2328,17.47,85,67,1.23,broken clouds
300,General Roca,AR,-39.0333,-67.5833,83.14,12,8,11.56,clear sky
301,Cozumel,MX,20.5083,-86.9458,79.99,60,91,4.72,overcast clouds
302,Puerto Ayacucho,VE,5.6639,-67.6236,85.98,69,72,2.93,broken clouds
303,Phonhong,LA,18.5007,102.4166,65.53,89,90,2.93,overcast clouds
304,Santiago Del Estero,AR,-27.7951,-64.2615,88.3,20,0,12.62,clear sky
305,Alofi,NU,-19.0595,-169.9187,77.25,60,57,16.62,broken clouds
306,Viedma,AR,-40.8135,-62.9967,74.21,24,0,8.97,clear sky
307,Rabo De Peixe,PT,37.8,-25.5833,58.51,77,75,8.05,broken clouds
308,Bar Harbor,US,44.3876,-68.2039,28.89,64,1,0.0,clear sky
309,Autun,FR,46.95,4.3,36.05,97,100,7.07,light snow
310,Svolvaer,NO,68.2342,14.5683,28.36,74,75,5.75,broken clouds
311,Wencheng,CN,33.0559,113.7978,44.51,87,0,1.39,clear sky
312,Mutis,CO,6.2262,-77.4044,81.1,80,33,6.24,scattered clouds
313,Japura,ID,-0.3167,102.35,72.36,91,100,2.26,overcast clouds
314,Takoradi,GH,4.8845,-1.7554,80.55,81,100,6.51,overcast clouds
315,Rudnogorsk,RU,57.2639,103.7519,15.49,93,100,7.58,overcast clouds
316,Dandong,CN,40.1292,124.3947,38.01,77,100,2.8,overcast clouds
317,Okhotsk,RU,59.3833,143.3,-6.93,85,10,18.57,clear sky
318,Sistranda,NO,63.7256,8.834,21.16,70,92,16.55,light snow
319,Copiapo,CL,-27.3667,-70.3333,62.29,29,0,9.37,clear sky
320,Port Shepstone,ZA,-30.7414,30.455,70.93,89,2,5.08,clear sky
321,Umm Lajj,SA,25.0213,37.2685,82.24,47,2,9.8,clear sky
322,Grand Gaube,MU,-20.0064,57.6608,77.02,70,6,7.23,clear sky
323,Ilulissat,GL,69.2167,-51.1,19.42,58,100,11.5,overcast clouds
324,Vestmannaeyjar,IS,63.4427,-20.2734,42.94,95,100,8.1,overcast clouds
325,Svetlaya,RU,46.5389,138.3297,34.21,70,100,8.34,overcast clouds
326,Numata,JP,36.6333,139.05,31.77,63,24,4.65,few clouds
327,Faya,SA,18.3851,42.4509,54.12,38,0,5.26,clear sky
